Date,City,Pollutant,Concentration,Year,Month,YearMonth,Period
2020-01-17,London,NO2,24,2020,1,2020-01-01,Pandemic
2020-01-17,London,SO2,2,2020,1,2020-01-01,Pandemic
2020-01-17,London,CO,0.14,2020,1,2020-01-01,Pandemic
2020-01-17,London,PM10,7,2020,1,2020-01-01,Pandemic
2020-01-17,London,PM2.5,4,2020,1,2020-01-01,Pandemic
2020-01-17,Manchester,O3,24,2020,1,2020-01-01,Pandemic
2020-01-17,Manchester,NO2,49,2020,1,2020-01-01,Pandemic
2020-01-17,Manchester,SO2,3,2020,1,2020-01-01,Pandemic
2020-01-17,Manchester,PM10,12,2020,1,2020-01-01,Pandemic
2020-01-17,Manchester,PM2.5,7,2020,1,2020-01-01,Pandemic
2020-01-17,Sheffield,O3,54,2020,1,2020-01-01,Pandemic
2020-01-17,Sheffield,NO2,22,2020,1,2020-01-01,Pandemic
2020-01-17,Sheffield,PM10,10,2020,1,2020-01-01,Pandemic
2020-01-17,Sheffield,PM2.5,5,2020,1,2020-01-01,Pandemic
2020-01-18,Edinburgh,O3,45,2020,1,2020-01-01,Pandemic
2020-01-18,Edinburgh,NO2,44,2020,1,2020-01-01,Pandemic
2020-01-18,Edinburgh,CO,0.057,2020,1,2020-01-01,Pandemic
2020-01-18,Edinburgh,PM10,9,2020,1,2020-01-01,Pandemic
2020-01-18,Edinburgh,PM2.5,4,2020,1,2020-01-01,Pandemic
2020-01-18,London,O3,22,2020,1,2020-01-01,Pandemic
2020-01-18,London,NO2,44,2020,1,2020-01-01,Pandemic
2020-01-18,London,SO2,2,2020,1,2020-01-01,Pandemic
2020-01-18,London,CO,0.21,2020,1,2020-01-01,Pandemic
2020-01-18,London,PM10,13,2020,1,2020-01-01,Pandemic
2020-01-18,London,PM2.5,8,2020,1,2020-01-01,Pandemic
2020-01-18,Manchester,O3,25,2020,1,2020-01-01,Pandemic
2020-01-18,Manchester,NO2,46,2020,1,2020-01-01,Pandemic
2020-01-18,Manchester,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-18,Manchester,PM10,20,2020,1,2020-01-01,Pandemic
2020-01-18,Manchester,PM2.5,10,2020,1,2020-01-01,Pandemic
2020-01-18,Sheffield,O3,58,2020,1,2020-01-01,Pandemic
2020-01-18,Sheffield,NO2,18,2020,1,2020-01-01,Pandemic
2020-01-18,Sheffield,PM10,13,2020,1,2020-01-01,Pandemic
2020-01-18,Sheffield,PM2.5,6,2020,1,2020-01-01,Pandemic
2020-01-19,Edinburgh,O3,61,2020,1,2020-01-01,Pandemic
2020-01-19,Edinburgh,NO2,16,2020,1,2020-01-01,Pandemic
2020-01-19,Edinburgh,CO,0.046,2020,1,2020-01-01,Pandemic
2020-01-19,Edinburgh,PM10,8,2020,1,2020-01-01,Pandemic
